index,order_id,item_id,cmt_id,user_id,comment,rating_star,author_username,anonymous
0,110850232143471,6839062615,8901622633,39550434,"Chất lượng sản phẩm:Tốt
Đúng với mô tả:Chuẩn khỏi chỉnh

Giày giá rẻ mà rất đẹp và nhẹ
Thích hợp chạy bộ hay đạp xe tập thể dục thể thao rất ok
Hôm qua mới đặt mà nay nhận được luôn",5,lyhaols,False
1,110207073197335,6839062615,8872725433,11910509,"Giày đẹp, giá hợp lý. Chưa chạy thử nên chưa biết thế nào. Đóng gói hơi sơ Sài. Nói chung hài lòng.",4,linhtinhdo,False
2,108925360244509,6839062615,8716870108,363182869,"Giầy khá nhẹ. Kiểu dáng thì bình thường, nhưng mình chỉ để chạy bộ nên ko quan trọng thời trang. Đọc mọi người nhận xét cứ sợ chật phải đặt hơn 1 size số với bình thường, về mang hơi rộng chút. Nhưng giày thừa dép thiếu, vẫn dùng đc.",5,vantrungkhanh,False
3,106717679216230,6839062615,8517462979,317627108,"Giày khá mềm , rộng đi êm chân ,shop giao hàng nhanh, còn về chất lượng thì đi lâu mới biết được . khá là hài lòng về cách làm việc của shop, sẽ quay lại ủng hộ shop sau",4,h*****o,True
4,106248017644008,6839062615,8437673534,261928680,"Mua cho bạn nên không biết sao 
Nhưng bạn nói giày mang nhẹ chân và êm 
Đóng gói okkk",5,dendup123,False
5,104549554391206,6839062615,8265275655,101890709,"Lần đầu tiên mua hàng bên shop.
Shop chuẩn bị hàng lâu.
Giày rẻ, nhẹ, êm, đáng mua.
Size giày dài hơn mấy hãng khác chút.",5,ivy_tran_1995,False
6,106397257657267,6839062615,8439154861,216816177,Nice product with reasonable price. Good to know this product. Lets see how old for this product.,5,tranbaolongdec27,False
7,102177999392950,6839062615,7920838166,117717471,"Giao hàng nhanh, đóng gói cẩn thận, giày siêu nhẹ, đi rất ôm chân. Chất lượng thì phải qua sử dụng mới biết",5,ductienhp88,False
8,103426055606236,6839062615,8209960824,57341357,"Giày đẹp mang siêu êm chân, vừa vặn. Hình ảnh và video chỉ mang tính chất nhận xu",5,maixuanviet199,False
9,99309232638846,6839062615,7601933392,50221751,hình ảnh chỉ mang tính chất minh hoạ. giầy đã nhận đẹp vừa chân nhưng ko biết có bền ko thôi. nói chung giảm giá mua đi được,5,hoantieu,False
10,103087651526084,6839062615,8036717947,133778183,"Mình mua về chạy bộ nên thấy giày khá là nhẹ, thoáng khí, êm chân, rất thoải mái. Tuy nhiên phần đế có vẽ không bám dính tốt lắm, mình chạy bê tông đường khô ráo nên cũng không ảnh hưởng gì mấy. Vẫn cho 5 sao nhé. Đáng tiền.",5,trieujiu,False
11,99941666650084,6839062615,7686532900,29294195,"Sản phẩm rất nhẹ, giày đi êm. Giao hàng đóng gói rất ok, còn được tặng một Voucher nhưng chắc ko use. Mọi người nên chọn lớn hơn 1 size đi cho êm nhé",5,hoangvietoo8,False
