index,order_id,item_id,cmt_id,user_id,comment,rating_star,author_username,anonymous
0,43212724114950,5117995283,2439000603,43693939,"Giá tốt, tuy nhiên khâu kiểm tra xe hoàn chỉnh trước khi giao hàng chưa được tốt, còn thiếu sót, kỹ thuật phải đến nhà chỉnh lại mới hoàn chỉnh.",4,phamdinhkhai72,False
1,61454391153448,5117995283,3622433774,4473309,"Xe chính hãng, cửa hàng rất thân thiện và chuyên nghiệp, mình săn sale nên mua được giá rất hời nè .",5,giaomymy,False
2,41046860944830,5117995283,2288049132,65449193,None,5,lamminhtam249,False
3,61408015375203,5117995283,3653834435,74753986,"Xe chính hãng yamaha, bảo hành trên toàn quốc , giá hợp lý so với các hãng khác, nên mua.",5,d*****n,True
4,43643150809345,5117995283,2421918530,114278854,,5,thuandodinh309,False
5,51081396059369,5117995283,2839470637,126951961,,5,minh0880,False
6,47801748175372,5117995283,2650201751,282470351,,5,_f9yq__vhm,False
7,41361991658300,5518025776,2347384008,26661811,Cửa hàng nhiệt tình tư vấn tốt sáng chuyển tiền chiều lấy xe rất nhanh,5,tuyetphung146,False
8,77444537357878,5518025776,5110730352,108024988,"Xe chuẩn đẹp. Shop bán hàng rất chuyên nghiệp. Hỗ trợ khách rất nhiệt tình. Nhân viên bán hàng rất nhẫn nại giải đáp 1 cách rõ ràng mọi thắc mắc khi mình lần đầu mua xe máy online. Nếu thời gian tới mua xe, chắc chắn mình sẽ quay lại Shop để mua tiếp.",5,thanhtm1688,False
9,42950745142809,5518025776,2392791433,62706522,"lên cửa hàng xem xe rồi đặt mua qua shopee nhận xe ngay tức thì, chưa có sổ bảo hành, vẫn đang chờ cửa hàng gửi sổ, nhân viên trẻ nhiệt tình tư vấn, giá cập nhật nhanh theo giá hãng nên rẻ hơn nhiều so với các cửa hàng khác",5,trunglinh0691,False
10,48080713127360,5518025776,2668171310,54096006,"Xe đẹp, làm thủ tục nhanh gọn, nhiệt tình, rất tốt sẽ ủng shop tiếp tục. Rất đáng tiền",5,nhankim89,False
11,40561066026901,5518025776,2252686878,31063385,,5,dsky719,False
12,51250478644661,5518025776,2853745980,55032063,,5,ginny0808,False
13,67483507400436,5517994551,4126286959,70351154,"Xe đẹp, hỗ trợ tốt, giao hàng ngay sau khi đặt qua shopee.",5,mrsilence411,False
14,43663177369533,5517994551,2422924792,257398620,"Nhân viên tư vấn nhiệt tình
Xe đẹp bóng bẩy không trầy xước
Giấy tờ nhanh gọn rất đáng tiền",5,thanhpolysu,False
