index,order_id,item_id,cmt_id,user_id,comment,rating_star,author_username,anonymous
0,82137990409368,9311704687,5692096048,39566183,"sảm phẩm ko giống như quảng cáo
Thứ nhất cam này ko kết nối được với điện thoại
Thứ 2 chất lượng video tạm
Thứ 3 cam xuất ra file avi nên rất khó để xem trên điện thoại",3,th.mart,False
1,69067999216733,9311704687,4385855734,48822004,hàng giao thiếu ko dùng đc,5,nguyenducvietthang,False
2,76371692322622,9311704687,5053067891,154663573,Xứng đáng trong tầm giá,5,vinh_nguyen_qn88,False
3,70166751265840,9311704687,4431747090,268722301,Ok,5,lequan19871987,False
4,74903101171221,5028170842,4934497230,99259283,"Hãy tham gia cùng tôi và cùng nhau bao vây những con rắn khác trong Little Big Snake! 
https://littlebigsnake.com/join/mtJrjZEcfG2E0lF519ed6ed
Có trên iOS và Android.",4,l*****t,True
5,61298012501339,5028170842,3658643941,151756498,,5,nguyendinhquan90,False
6,82114893476695,3183589507,5879895223,138327014,"Giao hàng nhanh, đóng gói cẩn thận, ổ cắm 3 chấu rộng nên khó sử dụng.",5,y*****e,True
7,75918382455657,3183589507,5023494542,293574693,Bị khởi động lại liên tục và lag nữa,2,nguyen_manh_tai,False
8,69593192144139,3183589507,4353891026,65564186,,5,hoanghong46,False
9,77286219323873,4278177411,5170893259,137501545,"Camera sau ko phải HD720 đâu các bạn nhé, Vga thôi.",2,huyvpc84,False
10,74360524311470,4278177411,4870817449,194409886,,5,coca.nguyen01,False
